,high_cut,mean_std,median_std,comb_std
0,0.37000000000000005,1755.3693277227633,1277.0372826670068,1234.71360347309
1,0.42,1494.9079135031438,1171.5886776552766,1132.675832398244
2,0.46999999999999986,1358.8933104166542,1138.6785479538466,1102.7046027503407
3,0.52,1293.4769056516573,1141.1744240713895,1107.5540054648563
4,0.57,1205.8315625034331,1117.4720599260477,1086.4336150618221
5,0.62,1161.7187082578453,1107.1585359471094,1075.099796764301
6,0.6699999999999999,1126.3628972909487,1095.9158461589436,1063.9214762182864
7,0.7199999999999999,1121.392591726589,1093.2464576667874,1060.8920195644791
8,0.7699999999999998,1116.5575104684078,1092.5353605381588,1058.7935645815446
9,0.8200000000000001,1121.3642178938414,1099.144935700703,1062.8524475607474
10,0.87,1151.1402613291975,1115.3667086531227,1079.1539327079108
11,0.9199999999999998,1251.316741573586,1164.3719943424182,1127.5168924291863
12,0.9699999999999999,1587.7089262466711,1426.4748194356573,1376.2680430651835
